Date,gasoline_price
5/15/03,1.584
6/15/03,1.607
7/15/03,1.639
8/15/03,1.798
9/15/03,1.894
10/15/03,1.677
11/15/03,1.625
12/15/03,1.572
1/15/04,1.64
2/15/04,1.729
3/15/04,1.851
4/15/04,1.961
5/15/04,2.246
6/15/04,2.207
7/15/04,2.037
8/15/04,1.993
9/15/04,2.038
10/15/04,2.101
11/15/04,2.084
12/15/04,1.956
1/15/05,1.87
2/15/05,1.995
3/15/05,2.186
4/15/05,2.462
5/15/05,2.447
6/15/05,2.319
7/15/05,2.458
8/15/05,2.651
9/15/05,2.959
10/15/05,2.827
11/15/05,2.478
12/15/05,2.232
1/15/06,2.294
2/15/06,2.322
3/15/06,2.473
4/15/06,2.76
5/15/06,3.147
6/15/06,3.124
7/15/06,3.077
8/15/06,3.094
9/15/06,2.905
10/15/06,2.599
11/15/06,2.544
12/15/06,2.649
1/15/07,2.64
2/15/07,2.5
3/15/07,2.77
4/15/07,3.124
5/15/07,3.441
6/15/07,3.255
7/15/07,3.052
8/15/07,2.879
9/15/07,2.921
10/15/07,3.05
11/15/07,3.271
12/15/07,3.205
1/15/08,3.171
2/15/08,3.178
3/15/08,3.509
4/15/08,3.64
5/15/08,3.908
6/15/08,4.327
7/15/08,4.358
8/15/08,4.066
9/15/08,3.827
10/15/08,3.251
11/15/08,2.384
12/15/08,1.883
1/15/09,1.996
2/15/09,2.178
3/15/09,2.213
4/15/09,2.364
5/15/09,2.539
6/15/09,2.858
7/15/09,2.808
8/15/09,2.908
9/15/09,2.989
10/15/09,2.841
11/15/09,2.885
12/15/09,2.839
1/15/10,2.908
2/15/10,2.867
3/15/10,2.993
4/15/10,3.085
5/15/10,3.077
6/15/10,3.012
7/15/10,3.061
8/15/10,3.149
9/15/10,3.047
10/15/10,3.095
11/15/10,3.147
12/15/10,3.223
1/15/11,3.293
2/15/11,3.407
3/15/11,3.733
4/15/11,3.951
5/15/11,4.062
6/15/11,3.933
7/15/11,3.848
8/15/11,3.849
9/15/11,3.937
10/15/11,3.866
11/15/11,3.775
12/15/11,3.562
1/15/12,3.534
2/15/12,3.709
3/15/12,4.055
4/15/12,4.187
5/15/12,4.261
6/15/12,4.115
7/15/12,3.691
8/15/12,3.946
9/15/12,4.094
10/15/12,4.053
11/15/12,3.623
12/15/12,3.454
1/15/13,3.422
2/15/13,3.656
3/15/13,3.835
4/15/13,3.746
5/15/13,3.953
6/15/13,3.875
7/15/13,3.901
8/15/13,3.855
9/15/13,3.767
10/15/13,3.567
11/15/13,3.373
12/15/13,3.348
1/15/14,3.366
2/15/14,3.379
3/15/14,3.619
4/15/14,3.829
5/15/14,3.911
6/15/14,3.994
7/15/14,3.99
8/15/14,3.91
9/15/14,3.82
10/15/14,3.466
11/15/14,3.149
12/15/14,2.859
1/15/15,2.351
2/15/15,2.287
3/15/15,2.786
4/15/15,2.784
5/15/15,3.028
6/15/15,3.152
7/15/15,3.221
8/15/15,3.102
9/15/15,2.764
10/15/15,2.504
11/15/15,2.494
12/15/15,2.451
1/15/16,2.39
2/15/16,2.111
3/15/16,2.235
4/15/16,2.349
5/15/16,2.567
6/15/16,2.68
7/15/16,2.7
8/15/16,2.615
9/15/16,2.707
10/15/16,2.747
11/15/16,2.689
12/15/16,2.601
1/15/17,2.743
2/15/17,2.761
3/15/17,2.86
4/15/17,2.938
5/15/17,2.934
6/15/17,2.878
7/15/17,2.841
8/15/17,2.922
9/15/17,3.095
10/15/17,2.981
11/15/17,3.028
12/15/17,2.986
1/15/18,2.966
2/15/18,3.027
3/15/18,3.101
4/15/18,3.261
5/15/18,3.389
6/15/18,3.42
7/15/18,3.381
8/15/18,3.343
9/15/18,3.353
10/15/18,3.453
11/15/18,3.42
12/15/18,3.146
1/15/19,2.916
2/15/19,2.818
3/15/19,2.905
4/15/19,3.313
5/15/19,3.513
6/15/19,3.392
7/15/19,3.242
8/15/19,3.17
9/15/19,3.134
10/15/19,3.294
11/15/19,3.348
12/15/19,3.163
1/15/20,3.029
2/15/20,2.994
3/15/20,2.888
4/15/20,2.455
5/15/20,2.356
6/15/20,2.574
7/15/20,2.737
8/15/20,2.79
9/15/20,2.806
10/15/20,2.75
11/15/20,2.721
12/15/20,2.688
1/15/21,2.696
2/15/21,2.828
3/15/21,3.187
4/15/21,3.316
5/15/21,3.477
6/15/21,3.604
7/15/21,3.798
8/15/21,3.864
9/15/21,3.859
10/15/21,3.848
11/15/21,3.857
12/15/21,3.826
1/15/22,3.908
2/15/22,3.946
3/15/22,4.634
4/15/22,4.615
5/15/22,4.936
6/15/22,5.44
7/15/22,5.238
8/15/22,4.789
9/15/22,4.644
10/15/22,5.093
11/15/22,4.655
12/15/22,3.99
1/15/23,3.915
2/15/23,4.111
3/15/23,4.182
4/15/23,4.395
5/15/23,4.593
6/15/23,4.811
7/15/23,4.935
8/15/23,5.035
9/15/23,5.043
10/15/23,4.862
11/15/23,4.401
12/15/23,4.174
1/15/24,3.991
2/15/24,3.921
3/15/24,4.227
4/15/24,4.596
5/15/24,4.593
6/15/24,4.348
