Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2023,Newport News,VA,Passenger,1,0,1,106,107,0.93
June 30 2019,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
April 30 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
November 30 2019,Multnomah,OR,Passenger,4,6,10,746,756,1.32
June 30 2022,Los Angeles,CA,Passenger,5,8,13,834,847,1.53
October 31 2020,Harris,TX,Passenger,1,0,1,252,253,0.40
October 31 2020,King,WA,Truck,5,1,6,184003,184009,0.00
April 30 2023,Pend Oreille,WA,Truck,0,0,0,5621,5621,0.00
September 30 2021,Stevens,WA,Passenger,52,42,94,30295,30389,0.31
May 31 2021,Skagit,WA,Passenger,578,265,843,91897,92740,0.91
May 31 2023,Anne Arundel,MD,Passenger,4,3,7,304,311,2.25
December 31 2021,Loudoun,VA,Passenger,1,0,1,68,69,1.45
August 31 2019,Williamson,TX,Passenger,0,2,2,155,157,1.27
June 30 2019,Cochise,AZ,Passenger,0,1,1,114,115,0.87
October 31 2019,Boone,MO,Passenger,0,1,1,12,13,7.69
August 31 2021,Kings,NY,Passenger,1,0,1,71,72,1.39
December 31 2022,Lake,IN,Passenger,0,1,1,11,12,8.33
April 30 2023,Wayne,MI,Passenger,0,1,1,39,40,2.50
January 31 2019,Spokane,WA,Passenger,470,379,849,307532,308381,0.28
October 31 2022,Orange,FL,Passenger,1,0,1,82,83,1.20
March 31 2024,Franklin,WA,Passenger,406,176,582,61698,62280,0.93
January 31 2020,Whitman,WA,Passenger,42,48,90,22653,22743,0.40
July 31 2020,Chesapeake,VA,Passenger,0,1,1,430,431,0.23
April 30 2023,Alameda,CA,Passenger,5,1,6,182,188,3.19
January 31 2017,Durham,NC,Passenger,0,1,1,39,40,2.50
December 31 2020,Tulsa,OK,Passenger,1,1,2,48,50,4.00
May 31 2023,Otero,NM,Passenger,0,1,1,28,29,3.45
May 31 2024,Grays Harbor,WA,Passenger,431,234,665,46527,47192,1.41
April 30 2023,St. Louis,MO,Passenger,1,0,1,60,61,1.64
November 30 2023,El Paso,TX,Passenger,3,0,3,261,264,1.14
May 31 2020,Fresno,CA,Passenger,1,0,1,201,202,0.50
September 30 2020,Harnett,NC,Passenger,1,0,1,201,202,0.50
February 29 2020,Goochland,VA,Passenger,2,1,3,273,276,1.09
May 31 2017,Skamania,WA,Passenger,9,7,16,8529,8545,0.19
May 31 2021,St. Louis,MO,Passenger,1,0,1,88,89,1.12
August 31 2021,Pend Oreille,WA,Passenger,16,7,23,9236,9259,0.25
April 30 2021,Howard,MD,Passenger,0,1,1,73,74,1.35
January 31 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
December 31 2021,DeKalb,GA,Passenger,1,0,1,62,63,1.59
February 28 2023,Douglas,WA,Passenger,180,59,239,28595,28834,0.83
April 30 2021,Norfolk,VA,Passenger,2,3,5,330,335,1.49
January 31 2018,Kent,MI,Passenger,0,1,1,35,36,2.78
October 31 2018,Fairfax,VA,Passenger,2,2,4,813,817,0.49
